Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
18-30,Employee,Above 10yr,Y Shape,Earth roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,U-Turn,Moving Backward,2
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Waiting to go,No priority to vehicle,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,2
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Moving Backward,2
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Overtaking,2
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Other,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Changing lane to the right,1
Over 51,Employee,Below 1yr,O Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No priority to pedestrian,1
18-30,Employee,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Other,1
18-30,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
18-30,Employee,2-5yr,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
31-50,Employee,5-10yr,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,Fatal injury
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
18-30,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,2-5yr,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,Other,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Overtaking,1
18-30,Employee,2-5yr,No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Driving to the left,1
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,2
18-30,Owner,2-5yr,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Unknown,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
18-30,Employee,1-2yr,Y Shape,Earth roads,Darkness - lights lit,Windy,Collision with pedestrians,Unknown,Other,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Collision with pedestrians,Moving Backward,Changing lane to the left,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Moving Backward,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,2
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Other,2
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
18-30,Other,Below 1yr,Crossing,Asphalt roads,Daylight,Other,Rollover,Going straight,No distancing,1
31-50,Owner,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,1-2yr,Other,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,Above 10yr,Y Shape,Earth roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
18-30,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Moving Backward,2
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Moving Backward,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Driving at high speed,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving under the influence of drugs,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Employee,Above 10yr,Crossing,Earth roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Owner,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Waiting to go,No priority to vehicle,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Reversing,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
Unknown,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,Crossing,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Driving to the left,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Overtaking,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,No priority to pedestrian,1
Under 18,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
Under 18,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to pedestrian,1
18-30,Other,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Over 51,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
Over 51,Owner,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Employee,2-5yr,No junction,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Driving carelessly,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving to the left,1
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving to the left,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Stopping,Driving to the left,2
Over 51,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Under 18,Owner,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Moving Backward,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
Unknown,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Unknown,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Owner,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Changing lane to the right,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,Fatal injury
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
18-30,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
31-50,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,2
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driving under the influence of drugs,1
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overspeed,2
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Owner,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overspeed,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,No distancing,1
